Date,Ticker,Close,inflation_rate,interest_rate,gdp_growth,unemployment_rate,exchange_rate,FTSE100_Index
2021-07-13,TSCO.L,236.9499969482422,111.4,0.0506,1.6866455181,4.5,1.3847,7124.7001953125
2021-07-14,TSCO.L,235.6499938964844,111.4,0.0506,1.6866455181,4.5,1.3854,7091.2001953125
2021-07-15,TSCO.L,232.9499969482422,111.4,0.0506,1.6866455181,4.5,1.3849,7012.0
2021-07-16,TSCO.L,234.8999938964844,111.4,0.0506,1.6866455181,4.5,1.3785,7008.10009765625
2021-07-19,TSCO.L,231.1999969482422,111.4,0.0506,1.6866455181,4.5,1.369,6844.39990234375
2021-07-20,TSCO.L,229.6499938964844,111.4,0.0506,1.6866455181,4.5,1.3615,6881.10009765625
2021-07-21,TSCO.L,231.3000030517578,111.4,0.0506,1.6866455181,4.5,1.3695,6998.2998046875
2021-07-22,TSCO.L,231.8000030517578,111.4,0.0506,1.6866455181,4.5,1.375,6968.2998046875
2021-07-23,TSCO.L,234.3000030517578,111.4,0.0506,1.6866455181,4.5,1.3749,7027.60009765625
2021-07-26,TSCO.L,232.3999938964844,111.4,0.0506,1.6866455181,4.5,1.3829,7025.39990234375
2021-07-27,TSCO.L,234.3999938964844,111.4,0.0506,1.6866455181,4.5,1.3884,6996.10009765625
2021-07-28,TSCO.L,233.1499938964844,111.4,0.0506,1.6866455181,4.5,1.3884,7016.60009765625
2021-07-29,TSCO.L,233.25,111.4,0.0506,1.6866455181,4.5,1.3966,7078.39990234375
2021-07-30,TSCO.L,233.0,111.4,0.0506,1.6866455181,4.5,1.3913,7032.2998046875
2021-08-02,TSCO.L,233.6000061035156,112.1,0.0504,1.6866455181,4.4,1.3886,7081.7001953125
2021-08-03,TSCO.L,235.3999938964844,112.1,0.0504,1.6866455181,4.4,1.3905,7105.7001953125
2021-08-04,TSCO.L,233.3500061035156,112.1,0.0504,1.6866455181,4.4,1.3912,7123.89990234375
2021-08-05,TSCO.L,231.8500061035156,112.1,0.0504,1.6866455181,4.4,1.3929,7120.39990234375
2021-08-06,TSCO.L,233.1499938964844,112.1,0.0504,1.6866455181,4.4,1.3873,7123.0
2021-08-09,TSCO.L,233.6499938964844,112.1,0.0504,1.6866455181,4.4,1.3852,7132.2998046875
2021-08-10,TSCO.L,234.5,112.1,0.0504,1.6866455181,4.4,1.384,7161.0
2021-08-11,TSCO.L,238.8999938964844,112.1,0.0504,1.6866455181,4.4,1.3866,7220.10009765625
2021-08-12,TSCO.L,241.1999969482422,112.1,0.0504,1.6866455181,4.4,1.3833,7193.2001953125
2021-08-13,TSCO.L,242.9499969482422,112.1,0.0504,1.6866455181,4.4,1.3857,7218.7001953125
2021-08-16,TSCO.L,242.1000061035156,112.1,0.0504,1.6866455181,4.4,1.3849,7154.0
2021-08-17,TSCO.L,245.25,112.1,0.0504,1.6866455181,4.4,1.3739,7181.10009765625
2021-08-18,TSCO.L,245.3000030517578,112.1,0.0504,1.6866455181,4.4,1.3749,7169.2998046875
2021-08-19,TSCO.L,244.0,112.1,0.0504,1.6866455181,4.4,1.3673,7058.89990234375
2021-08-20,TSCO.L,246.5,112.1,0.0504,1.6866455181,4.4,1.3625,7087.89990234375
2021-08-23,TSCO.L,251.5,112.1,0.0504,1.6866455181,4.4,1.3717,7109.0
2021-08-24,TSCO.L,251.0500030517578,112.1,0.0504,1.6866455181,4.4,1.3716,7125.7998046875
2021-08-25,TSCO.L,251.5500030517578,112.1,0.0504,1.6866455181,4.4,1.3723,7150.10009765625
2021-08-26,TSCO.L,253.0,112.1,0.0504,1.6866455181,4.4,1.3712,7125.0
2021-08-27,TSCO.L,254.8500061035156,112.1,0.0504,1.6866455181,4.4,1.3769,7148.0
2021-08-31,TSCO.L,255.1499938964844,112.1,0.0504,1.6866455181,4.4,1.3747,7119.7001953125
2021-09-01,TSCO.L,256.0,112.4,0.05,1.6866455181,4.3,1.379,7149.7998046875
2021-09-02,TSCO.L,256.6000061035156,112.4,0.05,1.6866455181,4.3,1.3825,7163.89990234375
2021-09-03,TSCO.L,255.6999969482422,112.4,0.05,1.6866455181,4.3,1.3862,7138.39990234375
2021-09-06,TSCO.L,257.3999938964844,112.4,0.05,1.6866455181,4.3,1.3862,7187.2001953125
2021-09-07,TSCO.L,258.3999938964844,112.4,0.05,1.6866455181,4.3,1.3792,7149.39990234375
2021-09-08,TSCO.L,257.0,112.4,0.05,1.6866455181,4.3,1.3761,7095.5
2021-09-09,TSCO.L,254.6499938964844,112.4,0.05,1.6866455181,4.3,1.3855,7024.2001953125
2021-09-10,TSCO.L,254.3999938964844,112.4,0.05,1.6866455181,4.3,1.3847,7029.2001953125
2021-09-13,TSCO.L,256.20001220703125,112.4,0.05,1.6866455181,4.3,1.3844,7068.39990234375
2021-09-14,TSCO.L,255.8000030517578,112.4,0.05,1.6866455181,4.3,1.3848,7034.10009765625
2021-09-15,TSCO.L,254.6999969482422,112.4,0.05,1.6866455181,4.3,1.3837,7016.5
2021-09-16,TSCO.L,257.1499938964844,112.4,0.05,1.6866455181,4.3,1.3785,7027.5
2021-09-17,TSCO.L,255.9499969482422,112.4,0.05,1.6866455181,4.3,1.3755,6963.60009765625
2021-09-20,TSCO.L,254.4499969482422,112.4,0.05,1.6866455181,4.3,1.3656,6903.89990234375
2021-09-21,TSCO.L,257.20001220703125,112.4,0.05,1.6866455181,4.3,1.3663,6981.0
2021-09-22,TSCO.L,261.6499938964844,112.4,0.05,1.6866455181,4.3,1.3669,7083.39990234375
2021-09-23,TSCO.L,259.54998779296875,112.4,0.05,1.6866455181,4.3,1.3745,7078.39990234375
2021-09-24,TSCO.L,257.5,112.4,0.05,1.6866455181,4.3,1.3681,7051.5
2021-09-27,TSCO.L,257.8999938964844,112.4,0.05,1.6866455181,4.3,1.3712,7063.39990234375
2021-09-28,TSCO.L,256.3500061035156,112.4,0.05,1.6866455181,4.3,1.3537,7028.10009765625
2021-09-29,TSCO.L,256.5,112.4,0.05,1.6866455181,4.3,1.3439,7108.2001953125
2021-09-30,TSCO.L,253.3000030517578,112.4,0.05,1.6866455181,4.3,1.347,7086.39990234375
2021-10-01,TSCO.L,247.9499969482422,113.4,0.0502,1.3776485546,4.2,1.3572,7027.10009765625
2021-10-04,TSCO.L,251.6499938964844,113.4,0.0502,1.3776485546,4.2,1.3602,7011.0
2021-10-05,TSCO.L,253.0,113.4,0.0502,1.3776485546,4.2,1.364,7077.10009765625
2021-10-06,TSCO.L,268.04998779296875,113.4,0.0502,1.3776485546,4.2,1.3569,6995.89990234375
2021-10-07,TSCO.L,273.1499938964844,113.4,0.0502,1.3776485546,4.2,1.3634,7078.0
2021-10-08,TSCO.L,275.6000061035156,113.4,0.0502,1.3776485546,4.2,1.363,7095.60009765625
2021-10-11,TSCO.L,270.3500061035156,113.4,0.0502,1.3776485546,4.2,1.363,7146.89990234375
2021-10-12,TSCO.L,270.1000061035156,113.4,0.0502,1.3776485546,4.2,1.3605,7130.2001953125
2021-10-13,TSCO.L,269.3500061035156,113.4,0.0502,1.3776485546,4.2,1.3645,7141.7998046875
2021-10-14,TSCO.L,266.0,113.4,0.0502,1.3776485546,4.2,1.3684,7207.7001953125
2021-10-15,TSCO.L,267.8999938964844,113.4,0.0502,1.3776485546,4.2,1.3756,7234.0
2021-10-18,TSCO.L,269.5,113.4,0.0502,1.3776485546,4.2,1.3726,7203.7998046875
2021-10-19,TSCO.L,274.25,113.4,0.0502,1.3776485546,4.2,1.3807,7217.5
2021-10-20,TSCO.L,272.1499938964844,113.4,0.0502,1.3776485546,4.2,1.3821,7223.10009765625
2021-10-21,TSCO.L,270.70001220703125,113.4,0.0502,1.3776485546,4.2,1.3812,7190.2998046875
